rank,name,artist,ImageLink,country,day,timeScriptWasExecuted,ImgLink
1,Perc & Sex,YN Jay,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/9cebf35cbd02444280c5e232107858eb.jpeg
2,"Ain't No Way Around It Remix feat. Future, Big Boi & Young Jeezy",DJ Drama,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/255b93c7d421456f8346627a81404b41.jpeg
3,Sure Thing Sped up Version,Stoci,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/e96b5c04c108488c8f85783f0b064844.jpeg
4,Too Close,Next,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/30566a176894423283adb9b9c5334748.jpeg
5,Mrs. Right,Mindless Behavior,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/465f8f56a9744b1b82097491f955929d.jpeg
6,We Can Go,SitaW,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/edbb6caf2c77487fba97b403c5798f54.jpeg
7,Gout,Joeyy,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/7b9bf64449ad4dda830f133a35b0c4ae.jpeg
8,RACK CITY,Lil Vada & DonnySolo,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/7848c4fb086e4b9fb5c373dedbc00ed3.jpeg
9,Gaichite,Misha Xramovi,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/3e7d53d9641d4ee19c03075e98631216.jpeg
10,I Could Fall In Love,Selena,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/077cedde098c42f49abfd8064ff39b10.jpeg
11,Stars Will Fall,Duster,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/dd36edbc790b4f4b81b231b0d1e196bf.jpeg
12,Creepy Violins,Apollo Nove,,United States,2023-01-27,17:17:12.857160,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/19dfc12cc92f4319b21d235afa2d25df.jpeg
